Date,Open,High,Low,Close,Adj Close,Volume
2019-01-09,212.000000,216.500000,211.000000,215.500000,203.521988,46295446
2019-01-10,216.000000,216.500000,214.500000,216.000000,203.994186,20754593
2019-01-11,219.000000,220.500000,218.000000,220.500000,208.244080,28102288
2019-01-14,218.500000,220.000000,217.000000,218.500000,206.355240,17612296
2019-01-15,216.500000,221.000000,215.500000,221.000000,208.716293,38882923
2019-01-16,218.500000,220.000000,217.500000,217.500000,205.410828,28978282
2019-01-17,218.000000,221.000000,218.000000,220.500000,208.244080,21163986
2019-01-18,219.000000,220.000000,217.500000,218.500000,206.355240,49627569
2019-01-21,220.000000,223.000000,220.000000,221.000000,208.716293,29384866
2019-01-22,220.000000,223.000000,219.000000,223.000000,210.605133,28926483
2019-01-23,221.500000,222.000000,220.000000,220.500000,208.244080,16671213
2019-01-24,222.500000,222.500000,220.500000,222.500000,210.132919,26417924
2019-01-25,226.500000,227.000000,225.000000,226.000000,213.438370,46692764
2019-01-28,229.500000,229.500000,228.000000,229.000000,216.271637,26026257
2019-01-29,222.500000,225.000000,222.000000,222.500000,210.132919,41122520
2019-01-30,220.500000,221.500000,220.000000,221.000000,208.716293,44755945
2019-02-11,228.000000,229.000000,226.500000,228.000000,215.327225,78307106
2019-02-12,230.000000,230.000000,229.000000,230.000000,217.216064,29406670
2019-02-13,232.000000,232.000000,228.500000,229.000000,216.271637,28634925
2019-02-14,229.500000,230.000000,226.000000,227.000000,214.382797,23647751
2019-02-15,229.000000,229.000000,226.500000,227.000000,214.382797,22369799
2019-02-18,229.000000,230.500000,228.500000,230.000000,217.216064,16978916
2019-02-19,230.000000,230.500000,229.000000,229.000000,216.271637,16577023
2019-02-20,231.500000,234.500000,231.000000,234.500000,221.465912,30479710
2019-02-21,235.500000,236.500000,234.500000,236.500000,223.354767,33764489
2019-02-22,235.500000,236.500000,234.000000,236.500000,223.354767,22032163
2019-02-25,237.500000,239.000000,236.000000,238.000000,224.771408,24105138
2019-02-26,239.000000,240.000000,236.500000,239.500000,226.188019,24522789
2019-02-27,238.500000,239.500000,237.000000,239.000000,225.715805,35240889
2019-03-04,239.500000,239.500000,234.500000,235.500000,222.410339,39655513
2019-03-05,234.000000,234.500000,232.500000,233.000000,220.049301,22641407
2019-03-06,235.000000,235.500000,233.500000,234.000000,220.993713,20433226
2019-03-07,235.000000,235.000000,233.000000,234.000000,220.993713,17126192
2019-03-08,231.000000,231.500000,229.000000,230.000000,217.216064,22190659
2019-03-11,228.000000,230.500000,227.500000,230.500000,217.688263,23200793
2019-03-12,233.000000,237.000000,232.500000,235.500000,222.410339,23588085
2019-03-13,234.000000,237.000000,234.000000,237.000000,223.826981,20500195
2019-03-14,239.000000,239.000000,234.000000,234.500000,221.465912,17175356
2019-03-15,237.000000,239.500000,235.500000,239.000000,225.715805,33649729
2019-03-18,239.500000,241.000000,239.000000,241.000000,227.604630,26856532
2019-03-19,239.000000,240.500000,238.000000,240.500000,227.132431,14479009
2019-03-20,242.000000,242.000000,239.500000,242.000000,228.549042,22975971
2019-03-21,242.500000,245.500000,241.000000,245.500000,231.854523,26179502
